Price,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
Ticker,AAPL,GOOG,MSFT,AAPL,GOOG,MSFT,AAPL,GOOG,MSFT,AAPL,GOOG,MSFT,AAPL,GOOG,MSFT
Datetime,,,,,,,,,,,,,,,
2026-02-23 14:30:00+00:00,267.04998779296875,315.79998779296875,388.42999267578125,267.739990234375,319.2799987792969,395.30999755859375,263.3810119628906,315.0899963378906,387.0899963378906,263.489990234375,319.1000061035156,395.19000244140625,7631864,3573186,8504163
2026-02-23 15:30:00+00:00,266.5899963378906,314.1700134277344,386.5610046386719,267.5299072265625,315.989990234375,389.239990234375,264.75,311.8599853515625,385.1000061035156,267.0899963378906,315.760009765625,388.3901062011719,1006448,2163463,4322641
2026-02-23 16:30:00+00:00,267.1297912597656,313.9700012207031,386.44000244140625,267.34588623046875,314.6000061035156,386.95001220703125,265.8399963378906,313.44000244140625,385.20001220703125,266.57000732421875,314.0899963378906,386.5400085449219,2169664,883669,2416776
2026-02-23 17:30:00+00:00,269.3349914550781,314.6499938964844,386.7850036621094,269.3699951171875,315.010009765625,387.9800109863281,266.8612060546875,312.9200134277344,385.9200134277344,267.10699462890625,313.989990234375,386.42999267578125,2699181,789369,2063242
2026-02-23 18:30:00+00:00,267.29998779296875,312.7300109863281,386.1700134277344,269.42999267578125,314.6600036621094,387.5299987792969,267.25,312.67498779296875,386.04998779296875,269.3399963378906,314.6499938964844,386.7900085449219,2303781,790670,10142399
2026-02-23 19:30:00+00:00,266.7799987792969,311.5574951171875,383.2731018066406,267.3299865722656,312.9898986816406,386.4700012207031,266.2799987792969,309.989990234375,383.2099914550781,267.2701110839844,312.75,386.1809997558594,2444216,1452327,0
2026-02-23 20:30:00+00:00,266.3900146484375,311.7200012207031,384.5199890136719,267.20001220703125,311.8399963378906,384.6400146484375,265.989990234375,310.57000732421875,383.1000061035156,266.80999755859375,311.5255126953125,383.260009765625,2450818,1118323,3114978
2026-02-24 14:30:00+00:00,273.6700134277344,309.4573059082031,388.2250061035156,274.8900146484375,310.8999938964844,389.3599853515625,267.739990234375,306.0899963378906,381.739990234375,268.0,310.5625,384.1400146484375,8122809,2857974,7464227
