Price,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
Ticker,AAPL,GOOG,MSFT,AAPL,GOOG,MSFT,AAPL,GOOG,MSFT,AAPL,GOOG,MSFT,AAPL,GOOG,MSFT
Datetime,,,,,,,,,,,,,,,
2026-01-12 14:30:00+00:00,260.3500061035156,331.2099914550781,478.5740966796875,261.29998779296875,334.44000244140625,480.9599914550781,256.79998779296875,325.510009765625,475.6802978515625,259.4100036621094,326.5,476.6700134277344,8505619,4098995,3161780
2026-01-12 15:30:00+00:00,260.2300109863281,329.94500732421875,478.7856140136719,260.45001220703125,331.2799987792969,479.7200012207031,259.04998779296875,327.5199890136719,478.05999755859375,260.364990234375,331.17999267578125,478.5813903808594,3280015,2505363,1140609
2026-01-12 16:30:00+00:00,260.60931396484375,330.67999267578125,478.4599914550781,261.1099853515625,330.9599914550781,479.8500061035156,259.7099914550781,329.8599853515625,478.1199951171875,260.2300109863281,329.91558837890625,478.7799987792969,2709473,974380,1059575
2026-01-12 17:30:00+00:00,260.8900146484375,330.572509765625,478.5299987792969,261.29998779296875,331.07000732421875,478.88751220703125,260.3500061035156,329.82000732421875,477.9700012207031,260.6000061035156,330.6499938964844,478.4599914550781,2160352,752248,769808
2026-01-12 18:30:00+00:00,260.6400146484375,330.93499755859375,479.1400146484375,260.94000244140625,331.32000732421875,479.2900085449219,260.19000244140625,330.2099914550781,477.8699951171875,260.8909912109375,330.6300048828125,478.510009765625,1974059,1110735,903532
2026-01-12 19:30:00+00:00,260.9700012207031,331.5773010253906,479.239990234375,261.19000244140625,332.1700134277344,480.6600036621094,260.48529052734375,330.9200134277344,479.04998779296875,260.6499938964844,330.9471130371094,479.1499938964844,2654547,1231186,1192696
2026-01-12 20:30:00+00:00,260.2099914550781,332.7272033691406,477.19000244140625,261.1300048828125,333.0050048828125,479.2300109863281,260.010009765625,331.41009521484375,476.70001220703125,260.9599914550781,331.5899963378906,479.2300109863281,2380012,1650601,1711089
2026-01-13 14:30:00+00:00,260.090087890625,336.239990234375,468.239990234375,261.80999755859375,341.1700134277344,475.760009765625,258.3900146484375,334.3500061035156,467.6099853515625,258.7200012207031,335.3500061035156,474.67498779296875,8478567,5723375,4239307
